"","Subject","NRX","NRXT","PRX","PRXT","FBM","W8","cue_f","cue_t","cue_g","P_Weekly","P_Daily","SRBAI","RR","FHS","FFriend","Devices","FBTime","COND","MDPoint","COND2","PW2","COND3","HS","CONDH"
"1",1,2,168,6,72,5,4,4,72,4,1,0,1,7.875,1,238,1,12,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"2",2,4,96,4,96,3,2,4,96,2,11,0.5,2.25,6.125,1.33333333333333,700,2,13,2,4,2,-0.347552983996146,1,-0.263140841615317,1
"3",3,4,72,5,48,3,4,4,48,3,11,0,2,2.875,2,385,2,12,2,4,2,-0.347552983996146,1,-0.424206898321922,1
"4",4,4,24,4,24,3,2,4,24,4,5,0,2,6,2.33333333333333,6,1,1,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"5",5,4,1,4,1,1,1,4,1,1,26,3,2.25,7.125,2,1622,1,13,3,4,3,1.18059011210271,2,-0.263140841615317,1
"6",6,3,72,4,24,5,3,4,24,3,23,1,2,6.5,2,100,2,12,3,4,3,0.874961492882938,2,-0.424206898321922,1
"7",7,4,24,5,12,5,2,4,12,4,26,1,1.75,4.625,1.33333333333333,86,3,5,3,4,3,1.18059011210271,2,-0.585272955028526,1
"8",8,3,168,6,48,3,4,5,72,5,1,0,1,6.75,1,700,2,16,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"9",9,4,24,4,24,5,2,4,24,1,26,1,1,7.75,1,100,2,10,3,4,3,1.18059011210271,2,-1.06847112514834,1
"10",10,3,3,7,1,3,3,5,3,5,17,4,5.75,8.375,3.66666666666667,706,3,3,3,4,2,0.263704254443396,2,1.99178395227715,2
"11",11,1,336,6,168,3,5,4,336,3,5,0,2,5.25,2,300,2,10,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"12",12,2,720,5,168,5,7,4,0,6,1,0,1,7,1,500,2,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"13",13,5,2,6,25,4,5,5,24,4,10,3,4.5,5,4.33333333333333,350,2,5,2,4,2,-0.449429190402736,1,1.18645366874412,2
"14",14,4,12,6,12,2,2,4,48,5,18,1,2,6,2,25,2,10,3,4,2,0.365580460849987,2,-0.424206898321922,1
"15",15,4,0,4,0,2,1,4,0,1,29,1,2,6,2.33333333333333,314,1,11,3,4,3,1.48621873132248,2,-0.424206898321922,1
"16",17,2,168,7,24,7,7,4,24,1,23,1,1,9,1,800,2,15,3,4,3,0.874961492882938,2,-1.06847112514834,1
"17",18,4,84,6,24,6,7,4,72,4,11,0,2.75,6,4.66666666666667,700,3,12,2,4,2,-0.347552983996146,1,0.0589912717978921,2
"18",19,4,1,4,1,4,2,4,174,4,5,0,2.5,5.5,1,20,1,5,1,4,0.5,-0.958810222435688,1,-0.102074784908712,1
"19",20,4,96,4,96,5,3,4,96,2,1,0,2,6,1,515,2,8,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"20",21,3,120,7,1,4,3,4,0,4,26,1,1,6.125,1,144,1,10,3,4,3,1.18059011210271,2,-1.06847112514834,1
"21",22,3,96,4,96,6,7,5,12,5,11,0,2,5.625,2,400,2,10,2,4,2,-0.347552983996146,1,-0.424206898321922,1
"22",23,2,72,4,24,5,2,4,24,4,1,0,2,5.625,1,500,1,13,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"23",24,4,169,4,577,2,1,4,169,2,5,0.1,2,6,2.66666666666667,120,2,10,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"24",25,3,96,4,168,3,3,4,168,5,5,0,3,3,3,10,2,10,1,4,0.5,-0.958810222435688,1,0.220057328504497,2
"25",26,5,2,3,1,5,4,5,1,5,5,0,4.5,5.625,5.33333333333333,2,1,0.25,1,4,0.5,-0.958810222435688,1,1.18645366874412,2
"26",27,4,1,4,1,3,3,4,4,3,7,2,2.25,6.5,1.66666666666667,220,2,10,1,4,0.5,-0.755057809622507,1,-0.263140841615317,1
"27",29,4,4,5,1,5,4,4,4,4,29,1,2,5.875,2,24,2,2,3,4,3,1.48621873132248,2,-0.424206898321922,1
"28",30,4,48,4,24,2,1,4,24,3,18,0,1,6.5,1,200,1,8,3,4,2,0.365580460849987,2,-1.06847112514834,1
"29",31,5,5,4,1,5,4,4,3,2,26,1,2.75,7.875,2.33333333333333,97,2,13,3,4,3,1.18059011210271,2,0.0589912717978921,2
"30",32,1,2160,4,120,6,6,4,72,2,5,0,1,6.75,2,287,2,4,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"31",33,4,1,4,1,2,1,4,1,1,11,0,4.25,7.125,1.33333333333333,574,3,10,2,4,2,-0.347552983996146,1,1.02538761203752,2
"32",34,4,32,4,224,4,4,4,225,4,5,8,5.25,4.25,3.33333333333333,600,5,5,1,4,0.5,-0.958810222435688,1,1.66965183886394,2
"33",35,2,8760,6,24,6,5,4,10,3,5,0,2,6.75,2,235,2,6,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"34",36,2,120,5,24,6,5,4,72,2,11,0.5,1,6.875,1.33333333333333,462,2,10,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"35",37,6,3,5,3,5,5,5,1,4,18,0.2,3.75,5.5,3,200,2,10,3,4,2,0.365580460849987,2,0.70325549862431,2
"36",38,2,372,5,60,5,2,5,36,5,5,1,2,7.875,1,35,2,3,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"37",40,5,1,4,1,5,4,4,2,4,29,1,4.75,5,2.66666666666667,600,1,10,3,4,3,1.48621873132248,2,1.34751972545073,2
"38",41,5,48,4,3,4,4,3,4,5,18,10,3.25,4.625,3.33333333333333,750,2,5,3,4,2,0.365580460849987,2,0.381123385211101,2
"39",42,4,120,4,120,2,1,4,120,2,18,0,2,5.75,2,50,3,15,3,4,2,0.365580460849987,2,-0.424206898321922,1
"40",43,2,336,7,24,7,1,4,24,5,11,0,3,7.375,1,180,2,13,2,4,2,-0.347552983996146,1,0.220057328504497,2
"41",44,4,1,4,1,1,1,4,1,1,26,1,1,9,1,95,1,4,3,4,3,1.18059011210271,2,-1.06847112514834,1
"42",45,4,2,5,3,3,5,4,2,5,31,2,4.75,6.875,5,110,1,8,3,4,3,1.68997114413566,2,1.34751972545073,2
"43",46,4,192,4,0,5,5,5,5,4,26,1,4.25,5.125,4,240,2,10,3,4,3,1.18059011210271,2,1.02538761203752,2
"44",47,4,1,4,1,2,1,4,1,1,19,5,7,5.5,2.66666666666667,200,2,8,3,4,2,0.467456667256577,2,2.79711423581017,2
"45",48,4,1,5,1,2,1,3,3,5,22,5,2.75,5.375,4.33333333333333,331,1,5,3,4,3,0.773085286476348,2,0.0589912717978921,2
"46",49,4,72,4,24,4,4,3,240,5,5,0,2,6.25,2,120,2,12,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"47",50,2,336,4,48,5,2,4,48,2,11,1,2.5,5.25,1.33333333333333,240,2,13,2,4,2,-0.347552983996146,1,-0.102074784908712,1
"48",51,2,480,5,120,5,5,4,120,5,5,0,1.75,6.625,2,300,2,13,1,4,0.5,-0.958810222435688,1,-0.585272955028526,1
"49",52,1,720,5,24,7,7,4,120,4,1,0,1,5.125,1,80,2,11,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"50",53,4,1,4,1,4,2,4,1,2,23,1,1.25,3.875,1,68,2,10,3,4,3,0.874961492882938,2,-0.907405068441735,1
"51",54,4,48,4,48,1,1,4,48,3,18,0,1,6.125,1,300,1,10,3,4,2,0.365580460849987,2,-1.06847112514834,1
"52",55,2,84,4,84,5,2,4,36,5,5,0.25,1,7.375,1,300,3,4,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"53",56,4,1,4,1,2,2,4,24,2,26,1,3.5,7.25,1.33333333333333,50,3,10,3,4,3,1.18059011210271,2,0.542189441917706,2
"54",57,2,48,7,48,4,4,4,48,4,12,0,2,5.875,1,1246,2,10,2,4,2,-0.245676777589555,1,-0.424206898321922,1
"55",58,1,74,4,124,1,1,1,224,4,1,0,2,3,2,250,2,10,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"56",59,5,12,4,12,5,2,4,12,4,5,1,1.25,5.5,1.66666666666667,140,3,12,1,4,0.5,-0.958810222435688,1,-0.907405068441735,1
"57",60,3,240,5,72,5,5,5,48,5,11,0,3,7,1.33333333333333,775,2,12,2,4,2,-0.347552983996146,1,0.220057328504497,2
"58",61,4,1,4,1,2,2,3,48,5,29,1,2,4.625,2.33333333333333,89,2,7,3,4,3,1.48621873132248,2,-0.424206898321922,1
"59",62,3,336,6,24,6,7,4,48,4,18,1,5,7.25,3,891,4,15,3,4,2,0.365580460849987,2,1.50858578215733,2
"60",63,4,4,4,4,5,1,4,2,5,7,2,2.75,5.75,2,673,2,13,1,4,0.5,-0.755057809622507,1,0.0589912717978921,2
"61",64,2,336,4,0,3,2,4,0,1,1,0,1,5.75,1,88,2,11,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"62",65,4,24,4,24,4,2,4,24,2,5,1,1,6.5,1,140,3,4,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"63",66,4,4,7,2,5,4,4,2,5,30,10,5,7.75,2.66666666666667,156,3,12,3,4,3,1.58809493772907,2,1.50858578215733,2
"64",67,2,168,5,48,6,4,4,48,4,5,0,2.75,7,1,300,3,10,1,4,0.5,-0.958810222435688,1,0.0589912717978921,2
"65",68,4,1,4,1,4,2,4,1,2,21,5,3.25,4.625,2,126,1,6,3,4,3,0.671209080069758,2,0.381123385211101,2
"66",69,2,48,7,1,5,2,4,0,4,10,2,2.75,7.375,3.33333333333333,603,3,10,2,4,2,-0.449429190402736,1,0.0589912717978921,2
"67",70,2,168,5,24,5,5,4,24,3,15,3,1.5,4.75,2.66666666666667,134,3,10,2,4,2,0.0599518416302158,2,-0.746339011735131,1
"68",71,2,120,5,48,5,6,4,96,4,1,0,2,6.25,2,120,1,16,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"69",72,4,1,4,1,1,1,4,1,4,23,1,1,4.75,1,156,1,8,3,4,3,0.874961492882938,2,-1.06847112514834,1
"70",73,3,24,5,12,5,5,4,288,5,29,1,4.75,4.25,2,300,2,12,3,4,3,1.48621873132248,2,1.34751972545073,2
"71",74,1,0,1,0,1,1,1,0,4,1,0,1,3,2.33333333333333,369,0,14,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"72",75,2,12,6,1,6,2,4,1,3,26,3,6.75,4.75,4.66666666666667,602,2,13,3,4,3,1.18059011210271,2,2.63604817910357,2
"73",76,4,54,4,54,4,2,4,54,3,29,1,3,6,3.33333333333333,12,1,10,3,4,3,1.48621873132248,2,0.220057328504497,2
"74",77,4,1,4,1,5,4,4,24,3,18,0,2,5.625,2,101,3,3,3,4,2,0.365580460849987,2,-0.424206898321922,1
"75",78,1,8760,4,168,7,7,4,0,4,5,0,1,4.625,1,22,2,5,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"76",79,2,168,6,24,6,5,5,24,5,1,0,1,6.25,1,50,1,16,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"77",80,3,480,5,48,4,4,4,120,4,5,0,2,6.875,1.66666666666667,1000,4,7,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"78",81,3,168,5,48,5,1,4,24,4,5,15,3.25,6.875,2.33333333333333,300,1,10,1,4,0.5,-0.958810222435688,1,0.381123385211101,2
"79",82,4,24,4,24,2,1,4,24,1,28,1,3.5,7,1.33333333333333,525,2,17,3,4,3,1.38434252491589,2,0.542189441917706,2
"80",83,3,2,5,1,2,3,5,1,5,23,2,1,7.125,1,250,2,8,3,4,3,0.874961492882938,2,-1.06847112514834,1
"81",84,4,48,4,48,5,4,4,48,4,21,5,3,5.375,1,750,2,6,3,4,3,0.671209080069758,2,0.220057328504497,2
"82",85,4,1083,5,963,3,6,4,1083,2,5,0,1.25,4.875,1.33333333333333,850,2,11,1,4,0.5,-0.958810222435688,1,-0.907405068441735,1
"83",86,4,5,4,5,2,1,4,5,2,7,2,1.5,8.25,1.33333333333333,150,3,12,1,4,0.5,-0.755057809622507,1,-0.746339011735131,1
"84",87,3,72,5,12,5,4,4,36,4,18,0,1,5.625,1,241,1,8,3,4,2,0.365580460849987,2,-1.06847112514834,1
"85",88,4,0,4,0,4,4,4,0,4,5,2,4,5.625,4,0,3,10,1,4,0.5,-0.958810222435688,1,0.864321555330915,2
"86",89,4,72,4,72,2,1,4,72,2,11,0,2,5.125,2,287,2,12,2,4,2,-0.347552983996146,1,-0.424206898321922,1
"87",91,3,72,4,24,2,1,4,24,2,18,1,2.75,8.625,1.33333333333333,209,1,11,3,4,2,0.365580460849987,2,0.0589912717978921,2
"88",92,4,0,4,24,1,2,4,0,1,18,1,1,6.5,1,120,2,7,3,4,2,0.365580460849987,2,-1.06847112514834,1
"89",93,4,8,5,2,3,3,5,2,5,31,1,2.25,8.875,1,420,2,10,3,4,3,1.68997114413566,2,-0.263140841615317,1
"90",94,3,720,7,168,5,7,4,168,5,5,5,1,6.375,1,300,3,12,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"91",95,6,1,6,1,5,4,4,1,2,14,2,1.25,7.25,1,1539,2,10,2,4,2,-0.0419243647763746,1,-0.907405068441735,1
"92",96,3,48,5,24,4,5,4,0,4,26,1,2,5.875,2,200,2,7,3,4,3,1.18059011210271,2,-0.424206898321922,1
"93",97,4,25,4,25,2,1,4,2,5,11,1,2.75,5.5,1,230,2,10,2,4,2,-0.347552983996146,1,0.0589912717978921,2
"94",98,4,1,4,1,1,1,4,24,1,1,0,1,4.375,1,182,1,20,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"95",99,1,720,5,168,6,7,4,168,1,1,0,1,6.5,1,546,1,15,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"96",100,2,336,4,168,2,3,4,168,3,1,0,1,6,1,33,2,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"97",101,1,720,4,120,3,3,4,120,1,1,0,2,2.875,1,60,2,14,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"98",102,4,1,4,1,5,3,4,1,3,29,1,3,4.625,1.66666666666667,25,2,4,3,4,3,1.48621873132248,2,0.220057328504497,2
"99",103,2,120,4,72,5,3,4,72,1,11,0.3,1,6.875,1,650,2,15,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"100",104,3,720,7,48,5,5,5,24,6,5,0,5,7,3.33333333333333,60,2,8,1,4,0.5,-0.958810222435688,1,1.50858578215733,2
"101",105,3,24,5,5,4,2,4,10,4,6,3,2,6.625,1,450,3,8,1,4,0.5,-0.856934016029097,1,-0.424206898321922,1
"102",106,4,0,4,0,1,1,4,0,1,29,1,1,9,1,600,1,8,3,4,3,1.48621873132248,2,-1.06847112514834,1
"103",107,1,168,4,48,5,7,4,72,2,5,1,1,4.25,1,77,2,10,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"104",108,2,720,4,360,5,7,3,360,3,1,0,1,5.125,1,450,2,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"105",109,4,24,4,24,1,1,4,24,2,1,0,2,6.125,1,30,1,2,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"106",110,1,240,5,96,7,4,4,96,5,11,1,4.5,6.125,2.66666666666667,75,2,3,2,4,2,-0.347552983996146,1,1.18645366874412,2
"107",111,5,24,6,1,6,4,4,3,1,27,10,5.75,8.375,2.66666666666667,1020,4,12,3,4,3,1.2824663185093,2,1.99178395227715,2
"108",112,6,48,6,48,6,4,4,0,4,21,5,3.75,7.625,2,327,2,6,3,4,3,0.671209080069758,2,0.70325549862431,2
"109",113,3,576,5,12,5,2,4,576,4,11,0,1,7.25,2,15,2,8,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"110",114,4,24,4,24,2,1,4,24,1,29,1,3.5,3.75,2.66666666666667,500,1,12,3,4,3,1.48621873132248,2,0.542189441917706,2
"111",115,4,52,4,51,2,1,4,50,4,5,0,1,7.25,1,1248,2,7,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"112",116,4,1,5,1,4,2,4,1,2,29,2,4,5.5,2.66666666666667,866,2,12,3,4,3,1.48621873132248,2,0.864321555330915,2
"113",117,4,240,4,240,3,4,4,240,2,1,2,1.75,3.5,1,200,2,15,1,4,0.5,-1.36631504806205,1,-0.585272955028526,1
"114",118,4,2,4,2,1,1,4,2,4,21,5,4,4.875,1,300,3,13,3,4,3,0.671209080069758,2,0.864321555330915,2
"115",119,2,72,4,24,5,3,4,24,4,18,0,2,5.875,1,400,2,10,3,4,2,0.365580460849987,2,-0.424206898321922,1
"116",120,4,48,4,48,2,4,4,48,2,24,0.5,2,6,1,614,2,15,3,4,3,0.976837699289529,2,-0.424206898321922,1
"117",121,3,96,4,24,2,1,4,0,1,11,0,1,7.5,1,436,2,9,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"118",122,6,264,7,1,1,1,4,1,4,26,1,4,5.625,1,279,2,8,3,4,3,1.18059011210271,2,0.864321555330915,2
"119",123,3,72,5,4,6,4,5,3,5,10,2,1,6,3.33333333333333,311,1,16,2,4,2,-0.449429190402736,1,-1.06847112514834,1
"120",124,5,28,7,1,7,7,7,1,7,26,4,6.75,7,6.66666666666667,2000,3,6,3,4,3,1.18059011210271,2,2.63604817910357,2
"121",125,4,1,4,1,5,1,4,1,4,9,2,2.25,5.75,1,129,2,8,2,4,0.5,-0.551305396809326,1,-0.263140841615317,1
